Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
10/17/2007,315.54,317.32,311.11,317.06,12048900,13.49801361,323.6945272,269.7024728,308.31,310.37,319.01,313.01,309.55,313.212,307.921,296.6985,273.7178,251.26115,312.2871522,312.2871522,312.2871522,312.2871522,312.2871522,12.17141172,11.11110051,7.045269365,56.47632999,1333.333333,8.47074923,73.3898362,-10.26104937,89.73895063,0.023373733,105427875,522440304,10/17/2007,17,2,290,42,0,0,0,0,0,0,0,2007,10,47.56,46.95,47.18,47.52,47.102,46.286,44.1214,1541.24,1538.53,1562.47,13892.54,13912.94,14078.69,320.13
10/18/2007,318.02,321.01,314.56,320.13,24553800,13.60354926,326.0775985,271.6634015,317.06,308.31,310.37,311.31,315.54,314.976,310.954,298.8705,274.8574,251.69165,314.9014348,314.9014348,314.9014348,314.9014348,314.9014348,12.44218661,11.37731773,7.002750125,57.66448756,1333.333333,10.46583851,74.86438879,-2.504173623,97.49582638,0.023018941,75380166,1066617072,10/18/2007,18,3,291,42,0,0,0,0,0,0,0,2007,10,47.76,47.56,46.95,46.77,47.28,46.4535,44.2096,1540.08,1541.24,1554.41,13888.96,13892.54,14015.12,322.68
10/19/2007,327.61,329.57,321.94,322.68,31546400,13.85933187,328.7066637,273.2693363,320.13,317.06,308.31,319.01,318.02,315.71,313.49,300.988,276.1586,252.0957,317.4942899,317.4942899,317.4942899,317.4942899,317.4942899,12.71595968,11.64504612,7.176839402,59.10697478,1333.333333,8.529530472,76.05146384,-16.90797546,83.09202454,0.020675754,80443320,1335990040,10/19/2007,19,4,292,42,0,0,0,0,0,0,0,2007,10,46.57,47.76,47.56,47.54,47.246,46.546,44.294,1500.63,1540.08,1561.8,13522.02,13888.96,14093.08,325.7
10/22/2007,319.65,327.83,318.46,325.7,13315400,14.31903565,331.6965713,274.4204287,322.68,320.13,317.06,310.37,327.61,318.776,315.548,303.0585,277.51,252.505,320.2295266,320.2295266,320.2295266,320.2295266,320.2295266,13.02645471,11.92132784,7.33349373,59.53464018,1333.333333,6.744887257,77.41202324,-9.496932515,90.50306748,0.012439653,40212508,551390714,10/22/2007,22,0,295,43,0,0,0,0,0,0,0,2007,10,47.13,46.57,47.76,47.18,47.239,46.656,44.3972,1506.33,1500.63,1548.71,13566.97,13522.02,13984.8,338.22
10/23/2007,330.96,339.14,330.33,338.22,13573800,15.65263841,337.0357768,274.4252232,325.7,322.68,320.13,308.31,319.65,324.758,318.58,305.7305,279.1142,252.98595,326.2263511,326.2263511,326.2263511,326.2263511,326.2263511,14.12001687,12.36106565,7.769672749,60.43231781,1333.333333,9.847353037,81.98211075,-1.828298887,98.17170111,0.01384885,169943976,725383872,10/23/2007,23,1,296,43,0,0,0,0,0,0,0,2007,10,48.12,47.13,46.57,46.95,47.31,46.7945,44.5146,1519.59,1506.33,1538.53,13676.23,13566.97,13912.94,338.25
10/24/2007,336.69,339.07,330.11,338.25,14793500,16.40075367,341.2265073,275.6234927,338.22,325.7,322.68,317.06,330.96,328.996,321.104,308.425,280.7882,253.46225,330.234234,330.234234,330.234234,330.234234,330.234234,14.81827762,12.85250804,7.854696124,61.21439215,1333.333333,8.063640139,81.99151287,-1.962946625,98.03705337,0.014692333,443805,797221715,10/24/2007,24,2,297,43,0,0,0,0,0,0,0,2007,10,47.75,48.12,47.13,47.56,47.333,46.903,44.639,1515.88,1519.59,1541.24,13675.25,13676.23,13892.54,334.59
10/25/2007,339.68,339.82,332.11,334.59,11579400,16.33914451,343.631289,278.274711,338.25,338.22,325.7,320.13,336.69,331.888,323.432,310.953,282.4996,253.91035,331.686156,331.686156,331.686156,331.686156,331.686156,14.90451294,13.26290902,7.844360687,61.97155877,1333.333333,7.478076515,76.73089351,-12.29142186,87.70857814,0.018304293,-42380604,585454464,10/25/2007,25,3,298,43,0,0,0,0,0,0,0,2007,10,47.11,47.75,48.12,47.76,47.367,46.968,44.7664,1514.4,1515.88,1540.08,13671.92,13675.25,13888.96,337.64
10/26/2007,337.35,338.61,334.36,337.64,6701000,16.07467145,345.7883429,281.4896571,334.59,338.25,338.22,322.68,339.68,334.88,325.295,313.639,284.3322,254.348,333.6707707,333.6707707,333.6707707,333.6707707,333.6707707,15.04552906,13.61943303,7.587620638,62.67464206,1333.333333,5.839942322,77.99778059,-6.17214043,93.82785957,0.018295163,20438050,359977720,10/26/2007,26,4,299,43,0,0,0,0,0,0,0,2007,10,47.89,47.11,47.75,46.57,47.402,47.0795,44.9174,1535.28,1514.4,1500.63,13806.7,13671.92,13522.02,339.95
10/29/2007,339.22,340.34,336.38,339.95,6126400,16.21841533,348.4948307,283.6211693,337.64,334.59,338.25,325.7,337.35,337.73,328.253,316.058,286.1258,254.784,335.7638471,335.7638471,335.7638471,335.7638471,335.7638471,15.16882627,13.92931168,7.328504878,63.40588568,1333.333333,9.530560299,78.93329739,-1.097355093,98.90264491,0.018325568,14151984,296395232,10/29/2007,29,0,302,44,0,0,0,0,0,0,0,2007,10,48.09,47.89,47.11,47.13,47.493,47.175,45.057,1540.98,1535.28,1506.33,13870.26,13806.7,13566.97,347.73
10/30/2007,339.09,350.31,339.09,347.73,13787300,16.69036123,352.2007225,285.4392775,339.95,337.64,334.59,338.22,339.22,339.632,332.195,318.82,288.0962,255.2607,339.7525647,339.7525647,339.7525647,339.7525647,339.7525647,15.7131893,14.2860872,7.606468815,64.46143173,1333.333333,12.78583244,81.74808615,-5.669083718,94.33091628,0.012376377,107265194,761610452,10/30/2007,30,1,303,44,0,0,0,0,0,0,0,2007,10,48.19,48.09,47.89,48.12,47.617,47.275,45.1948,1531.02,1540.98,1519.59,13792.47,13870.26,13676.23,353.85
